author,quote
Robert Ingersoll,Ignorance is the soil in which belief in miracles grows.
Robert Ingersoll,Hope is the only bee that makes honey without flowers.
Robert Ingersoll,"Age after age, the strong have trampled upon the weak; the crafty and heartless have ensnared and enslaved the simple and innocent, and nowhere, in all the annals of mankind, has any god succored the oppressed"
Robert Ingersoll,It is a blessed thing that in every age someone has had the individuality enough and courage enough to stand by his own convictions
Robert Ingersoll,"In our era, the road to holiness necessarily passes through the world of action."
Robert Ingersoll,"If I owe Smith ten dollars and God forgives me, that doesn't pay Smith."
Rich Ingold,"When he plays to his potential, we'll be all right."
Rich Ingold,"What I believe is the talent level, with the exposure of the (parent Arena Football League) on NBC, has risen."
Rich Ingold,(South Georgia) is out fighting for their identity and playing a team that has a good reputation in the league. They've got nothing to lose and could be dangerous. We just have to play our game.
Rich Ingold,We'll live with (the fines). The league has to keep control. I agree with the league's decision.
Rich Ingold,We had control most of the game and beat them by 30 a few weeks before.
Brian Ingram,When he told me he got kicked out of school for a $100 fine and everything he got kicked out of school for was dropped . . . I think it's unfair.
Brian Ingram,Swimming is a life-long activity and it's one of the best all-around conditioning sports. I strongly encourage all of the athletes to continue swimming competitively after high school because ultimately I want them to be healthy.
Brian Ingram,"In our minds, [the freshmen] have all the ability in the world. It's just that they have to be thrown into the fire this year. We try to let them know, even though you're freshmen and you've never set foot on this field or caught a pass at Delaware, that means nothing. You can't use that excuse out there Saturday."
Juli Inkster,"It's a little bit frustrating, but there's nothing I can do about it and I don't worry about it, ... I don't look for the spotlight. I'm a mom, you know? I'm pretty boring otherwise. It's just the way I am."
Juli Inkster,"In this society, it's 'What have you done for me lately?'"
Juli Inkster,"Anybody who thinks Tiger's in a slump doesn't have any idea what golf is about, ... I know what a true slump is. I'd love to be in Tiger's slump. There are probably 140 guys on tour who'd love to be in Tiger's slump."
Juli Inkster,"Deep down, Beth and I know we didn't play our best golf today, ... Half a point, we're not happy with it, but it's better than no points."
Juli Inkster,"[This from the woman who is possibly the best driver of the golf ball in LPGA history: No one as long has ever been as accurate, and no one as accurate has ever been as long. That she is still looking to shorten the course shows how relentless she is.] She's never satisfied, ... She really believes she can do anything."
Juli Inkster,"I'm 45, but to me its just an age; its just a number. I'm in the best shape I've ever been. I'm hitting it the best I've ever hit it."
Juli Inkster,She reminds me a lot of me at that age. She's got the game. She loves the pressure. And she's a great kid. She's very well-mannered. She is our future.
INXS INXS,"J.D, you sing with passion, you're an amazing performer and you're great to watch,"
INXS INXS,"J.D, you sing with passion, you're an amazing performer and you're great to 'watch,"
INXS INXS,"J.D., you sing with passion, you're an amazing performer and you're great to watch,"
INXS INXS,"[But Fortune prevailed Tuesday night, beating Casey with his versions of the Rolling Stones'] You Can't Always Get What You Want ... What You Need."
Inzamam-ul Inzamam-ul,"I'm backing myself to show the lead to the other batsmen, ... It's going to be hard work, but we have to fight to save this match."
Inzamam-ul Inzamam-ul,"The Pakistan Cricket Board had given me an understanding that I would be in both the World XI's (ODI and Test). But till today, they have not conveyed to me about my selection. I have already read my selection in the newspapers,"
Inzamam-ul Inzamam-ul,"I think to be in the elite group of five in each category is an achievement in itself and if you are the only Asian, then I think you have more than one reason to be satisfied,"
Tony Iommi,"I was mostly surprised by the rap artists, actually, that were influenced by Sabbath. That was a surprise. But it's very nice and I'm very honored. It's nice to know after 27 years now that what I said in the first place has stuck, and that was the belief in it."
Tony Iommi,"Well, I think it's kind of good to step out of the Sabbath banner, you know, and not go under the name of Black Sabbath or whatever."
Tony Iommi,"My early influences were the Shadows, who were an English instrumental band. They basically got me into playing and later on I got into blues and jazz players. I liked Clapton when he was with John Mayall. I really liked that period."
Eugene Ionesco,"The universe seems to me infinitely strange and foreign. At such a moment I gaze upon it with a mixture of anguish and euphoria; separate from the universe, as though placed at a certain distance outside it; I look and I see pictures, creatures that move in a kind of timeless time and spaceless space, emitting sounds that are a kind of language I no longer understand or ever register."
Eugene Ionesco,You've always made the mistake of being yourself
Eugene Ionesco,"The light of memory, or rather the light that memory lends to things, is the palest light of all. I am not quite sure whether I am dreaming or remembering, whether I have lived my life or dreamed it. Just as dreams do, memory makes me profoundly aware of the unreality, the evanescence of the world, a fleeting image in the moving water."
Eugene Ionesco,"For me, it is as though at every moment the actual world had completely lost its actuality. As though there was nothing there; as though there were no foundations for anything or as though it escaped us. Only one thing, however, is vividly present: the constant tearing of the veil of appearances; the constant destruction of everything in construction. Nothing holds together, everything falls apart."
Eugene Ionesco,Living is abnormal.
Eugene Ionesco,"I am not quite sure whether I am dreaming or remembering, whether I have lived my life or dreamed it. Just as dreams do, memory makes me profoundly aware of the unreality, the evanescence of the world, a fleeting image in the moving water."
Eugene Ionesco,"The critic should describe, and not prescribe."
Eugene Ionesco,"Childhood is the world of miracle and wonder; as if creation rose, bathed in the light, out of the darkness, utterly new and fresh and astonishing. The end of childhood is when things cease to astonish us."
Eugene Ionesco,Ideologies separate us. Dreams and anguish bring us together.
Pam Iorio,The voting system used by almost every major urban county was based on 1970s technology and that led to a large number of errors made by voters on election day that effectively negated thousands of votes.
Pam Iorio,"The issue really is that we have a shortage of shelter space, ... We can't expect everyone to leave, since they are going to get trapped on the roadway."
Pam Iorio,"I can't imagine that we wouldn't talk, ... It's not about jurisdiction. It's about public safety."
Pam Iorio,"We, the city, have to contact these nursing homes and assisted-living facilities, (saying), `We have a copy of your plan on file. Have you implemented your plan? If not, why not?'"
Pam Iorio,"If you're responsible for the health, safety and welfare (of the public), you have to look at your own situation and say, `Have we planned for the absolute worstcase scenario?'  ... I think our responsibility is to ask those questions and to constantly challenge the status quo."
Pam Iorio,"My general direction to them was fix this mess,"
Pam Iorio,"When they left in the 90s, it wasn't under the best circumstances, ... When you visit a community, it's often the little things that make a difference. It all adds up to a wealth of hospitality."
Pam Iorio,"This has the ability to be a community where it's all in one,"
Allama Iqbal,"Since love first made the breast an instrumentOf fierce lamenting, by its flame my heartWas molten to a mirror, like a roseI pluck my breast apart, that I may hangThis mirror in your sightGaze you therein."
Allama Iqbal,"I am but as the spark that gleams for a moment, His burning candle consumed me - the moth; His wine overwhelmed my goblet, The master of Rum transmuted my earth to gold And set my ashes aflame"
Allama Iqbal,"But only a brief momentis granted to the braveone breath or two, whose wage isThe long nights of the grave."
Allama Iqbal,"I have seen the movement of the sinews of the sky,And the blood coursing in the veins of the moon."
Muhammad Iqbal,"If the object of poetry is, to make men, then poetry is the heir of prophecy."
Muhammad Iqbal,"Thou art not for the earth, nor for the Heaven the world is for thee, thou art not for the world."
Muhammad Iqbal,"Nations are born in the hearts of poets, they prosper and die in the hands of politicians."
Muhammad Iqbal,"Words, without power, is mere philosophy."
Muhammad Iqbal,"When truth has no burning, then it is philosophy, when it gets burning from the heart, it becomes poetry."
Muhammad Iqbal,"The Ego is partly free. partly determined, and reaches fuller freedom by approaching the Individual who is most free: God."
Muhammad Iqbal,"Rise above sectional interests and private ambitions... Pass from matter to spirit. Matter is diversity; spirit is light, life and unity."
Muhammad Iqbal,"I am a hidden meaning made to defy. The grasp of words, and walk away With free will and destiny. As living, revolutionary clay."
Muhammad Iqbal,"If your liver becomes blood through this your destiny, then ask God for another destiny. It is possible that you request from God another destiny."
Muhammad Iqbal,"The spirit of philosophy is one of free inquiry. It suspects all authority. Its function is to trace the uncritical assumptions of human thought to their hiding places, and in this pursuit it may finally end in denial or a frank admission of the incapacity of pure reason to reach the ultimate reality."
Patricia Ireland,"We do not intend to encourage higher courts to consider and possibly create legal precedent that would injure everyday women in the workplace, based on the allegations and evidence of a politically charged case,"
Patricia Ireland,"[Patricia Ireland, President of the National Organization for Women, also on the ground at Kennedy Space Center, sighed when I asked her about the convergence of the two events.] It has the potential to diminish the excitement ... And, at the same time, it reminds us that progress must go on. That it is bigger than any one connection to the past."
Patricia Ireland,"One of the things [NOW members] look for whenthey're looking for [work] is jobs where they're going toget better skills on computers, ... That's ahigher value, especially for the young women, than theimmediate pay they're going to be getting. We hear itwith great regularity."
Patricia Ireland,"Women are called upon to defend every bit of progress we have made against particularly virulent attack. But we must also hold out a vision, put forth a positive agenda of what women need and want and then move forward toward that dream."
Patricia Ireland,"When I started law school I was shocked to learn that our legal system traditionally had the man as the head and master of the family. As late as the '70s and '80s when we were fighting for the Equal Rights Amendment, states like Louisiana still had a head and master law."
Patricia Ireland,"When I hear traditional family values raised, I hear that effort once again to re-establish the man as head and master of his family. Who had the, not only the right, but the obligation to discipline his wife and children to keep them in line?"
Patricia Ireland,"We may be in a tough time right now, but when we are in a tough time is when our movement gets really strong."
Patricia Ireland,We always knew when we took on the issue of violence against women that somehow our opposition would come after us.
Patricia Ireland,"Violence may be a good focus to organize around, but we have to look at women's lives in our entirety."
Patricia Ireland,"They plan to ride into the White House on the Sweet Talk Express. Well, think again. Bush and Cheney are not compassionate conservatives. They are ruthless reactionaries."
Patricia Ireland,"There are a lot of people who worked extremely hard in the election who are still organized who know how to do door to door and phone canvassing, who know how to raise money."
Patricia Ireland,The way to be a man if you're a little boy is to be willing to throw your weight around.
Patricia Ireland,"The Violence Against Women Act is so important. It provides money to train the cop on the beat, to train the judges that this is a new day, that we won't tolerate this violence and to know how to deal with it."
Patricia Ireland,"The opposition has moved from a blaming the victim to blaming the victim's advocate's statistics. Irrespective of what the numbers are, it's far too many."
Patricia Ireland,"Some of us may just, in one-on-one conversations with our family, with our friends, over the back fence with our neighbors, talk about the reality of our lives and realize that we're not alone, that we have a right to be physically safe and emotionally safe in our own homes."
Patricia Ireland,"Some of those men in power, we just have to change their faces because we're not going to change their minds."
Patricia Ireland,Some campaigns are not worth waging if you can't win; others have to be fought on grounds of principle regardless of the chances for success.
Patricia Ireland,My answer to those who oppose my appointment as CEO is that this is really a decision of the YWCA. They want to strengthen their grassroots to advocate on behalf of women's and children's empowerment and ending racism.
Patricia Ireland,"Most of us see Justice O'Connor as something of an icon, although we do not agree with all of her decisions."
Patricia Ireland,"More than 10,000 ballots in Miami-Dade County have been rejected by some machine without any opportunity for a human being to take a look. That is just not right."
Patricia Ireland,"Is a woman raped every three minutes or every six minutes? It is far too much, whatever it is."
Patricia Ireland,"In any grass-roots campaign, building an ongoing base of support is as important as winning the ultimate goal."
Patricia Ireland,"I've talked to law enforcement officials at the state and local level who say that violence against women is going up. In any case, we think that it's an important issue whether it's going up or not. And we are determined to stop it."
Patricia Ireland,"I want to reach young women and to get them involved in the mission of the YWCA, economic empowerment of women and girls, and ending racism."
Patricia Ireland,"I know that it isn't just violence against women, it's how do we support ourselves and our families, how do we deal with health care for ourselves and our families? It's a bigger picture."
Patricia Ireland,I just have that sense this is the reason we got Sandra Day O'Connor on the Court in the first place is because Ronald Reagan was running for President.
Patricia Ireland,I have a very personal interest. I am a Miami-Dade voter. One of the issues is that my vote and so many other votes of women and African Americans in Florida are being discounted or discarded. I want my vote to count.
Patricia Ireland,I don't think you lead by pessimism and cynicism. I think you lead by optimism and enthusiasm and energy.
Patricia Ireland,And of course we are familiar with the English common law rule of thumb that said a man could in fact use a stick no bigger than his thumb to discipline his wife and family.
Patricia Ireland,Advice and consent does not mean rubber stamp in the Senate.
Patricia Ireland,"Stewardesses are still paid so little that in many cases, new hires qualify for food stamps."
Patricia Ireland,"I want to organize so that women see ourselves as people who are entitled to power, entitled to leadership."
Jim Irsay,It was a good compromise. We're happy with it  30-2 is a good vote.
Jim Irsay,"It was a good compromise, and we?re happy with it. 30-2 is not a bad vote."
Jim Irsay,It was a good compromise.
Jim Irsay,It was a good compromise. We're happy with it â€” 30-2 is a good vote.
Jim Irsay,It was a good compromise. We're all happy to have labor peace again.
Jim Irsay,We are pleased to have reached agreement on all issues with the (Capital Improvements Board) related to the lease and look forward to the successful completion of all other unfinished agreements.
Michael Irvin,"Michael Vick healthy in the pocket, as a pocket passer, puts the fear of Doug Flutie in me. Michael Vick running around with all his legs (healthy) puts the fear of God."
Michael Irvin,He's a lock for the Hall of Fame.
Michael Irvin,"You made it something special. Most of all, I want to thank the fans for your support not through the great times that we shared on the football field, but for the last 17 years of my life. You have supported me through all times."
Michael Irvin,"We looked at each other standing on the podium, and I think we all were tearing up. But we had to keep it cool. I think we did. Then we let out a breath."
Michael Irvin,"'Through the times I've gone through the last couple of weeks - and I'm still trying to help a friend - I got attacked pretty hard through the media, and it hurt and it was devastating, but I really found out who was with me and who was there for me."
Michael Irvin,"The whole thing means such a great deal for me, and hopefully one day it will be there. But my friends and my family mean a little more. I would rather be helping them, even if it hurts that."
Michael Irvin,"I'm taking T.O., every day... He gives me the whole football field."
Michael Irvin,I'm no superman.
Michael Irvin,"I understand people have doubts, but I'm totally clean."
Michael Irvin,I am the original... Those are my disciples.
Michael Irvin,I am going to do everything I can to clear my name.
Michael Irvin,"Hey, we have obligations. We all work for a living now."
Michael Irvin,I am not a player anymore.
Michael Irvin,We all want to thank Emmitt for allowing us to enjoy every yard.
Michael Irvin,"I'm surprised the New England Patriots didn't take the decision out of his hands. As soon as this thing happened, they should have put him on IR."
Michael Irvin,"I didn't always know, but I always wanted to. I always wanted to be the very best receiver the Cowboys ever had. That was my goal coming in as a rookie and my goal throughout my career: being the best they ever had, going up in the Ring of Honor."
Michael Irvin,I can't write my life story without Emmitt and Troy. They can't write their life stories without me. We're tied together forever. This is a day to remember for the rest of our lives.
Michael Irvin,"I know the type of demons they have to fight and I am going to help them, because it's the only way I can keep them from getting to my family. I have to clean up my friends because they are around my boys. It's upsetting."
Andy Irvine,"Scotland ended last season on a high and the team were playing with a smile on their faces,"
Andy Irvine,"He (McKie) is not going to wave a magic wand and find a loose-head prop that's going to demolish the All Blacks or pull out a winger that will put Rokocoko to shame. That's not his role. There is no quick fix,"
Andy Irvine,"He's (McKie) not going to wave a magic wand and find a loose-head prop that's going to demolish the All Blacks or pull out a winger that will put Rockokoko to shame. That's not his role. There is no quick fix,"
Andy Irvine,"It has been well documented that Hugh has withdrawn from the interview process and it will be a straight choice between Frank and Steve,"
Andy Irvine,"It will be a straight choice between Frank and Steve,"
David Irving,"History is like a constantly changing tree. The more you know, the more documents become available, the more you learn, and I have learned a lot since 1989."
David Irving,That is outstanding growth by anyone?s measure.
David Irving,"In my view, freedom of speech means the freedom to say things to other people that they don't want to hear. And if that causes offense to them, then that's partly their problem and partly mine. Freedom of speech is the right to be wrong, basically. Sometimes I'm wrong."
David Irving,I come from a free country and I'm not going to let anybody silence me.
David Irving,"The way the law is written, I didn't have any other choice but to plead guilty."
David Irving,Smoking is just a prop or wardrobe that helps identify a character as a bad guy. They have to do whatever they can to make the audience feel that this is a despicable person who is fighting or challenging the hero.
David Irving,I have no academic qualifications whatsoever.
David Irving,I made a mistake when I said there were no gas chambers at Auschwitz.
David Irving,History is like a constantly changing tree.
David Irving,because of my ability to stand up to the experts ... to take them all on single-handed.
John Irving,"So, you see, it's a real chore for me to write a book review because it's like a contest. It's like I'm writing that book review for every bad book reviewer I've ever known and it's a way of saying [thrusts a middle finger into the air] this is how you ought to do it. I like to rub their noses in it."
John Irving,"You know, people think you have to be dumb to skip rope for 45 minutes. No, you have to be able to imagine something else. While you're skipping rope, you have to be able to see something else."
John Irving,"You don't want to dwell on your enemies, you know. I basically feel so superior to my critics for the simple reason that they haven't done what I do. Most book reviewers haven't written 11 novels. Many of them haven't written one."
John Irving,"There's no reason you shouldn't, as a writer, not be aware of the necessity to revise yourself constantly."
John Irving,There's no reason you should write any novel quickly.
John Irving,The building of the architecture of a novel - the craft of it - is something I never tire of.
John Irving,"No adult in my family would ever tell me anything about who my father was. I knew from an older cousin - only four years older than I am - everything, or what little I could discover about him."
John Irving,"More than a half, maybe as much as two-thirds of my life as a writer is rewriting. I wouldn't say I have a talent that's special. It strikes me that I have an unusual kind of stamina."
John Irving,"If you are lucky enough to find a way of life you love, you have to find the courage to live it."
John Irving,"I think the sport of wrestling, which I became involved with at the age of 14... I competed until I was 34, kind of old for a contact sport. I coached the sport until I was 47. I think the discipline of wrestling has given me the discipline I have to write."
John Irving,"I have pretty thick skin, and I think if you're going to be in this business, if you're going to be an actor or a writer, you better have a thick skin."
John Irving,"I had been a student in Vienna, and one of the neat little things I had found out was about that zoo. It was a good debut novel for me to have published. I was 26 or 27 when it was published. I already had a kid and would soon have a second."
John Irving,"And I find - I'm 63, and my capacity to be by myself and just spend time by myself hasn't diminished any. That's the necessary part of being a writer, you better like being alone."
John Irving,"And I don't want to begin something, I don't want to write that first sentence until all the important connections in the novel are known to me. As if the story has already taken place, and it's my responsibility to put it in the right order to tell it to you."
John Irving,"When I was still in prep school - 14, 15 - I started keeping notebooks, journals. I started writing, almost like landscape drawing or life drawing. I never kept a diary, I never wrote about my day and what happened to me, but I described things."
John Irving,"Sometimes that's a year, sometimes it's 18 months, where all I'm doing is taking notes. I'm reconstructing the story from the back to the front so that I know where the front is."
John Irving,I don't begin a novel or a screenplay until I know the ending. And I don't mean only that I have to know what happens. I mean that I have to hear the actual sentences. I have to know what atmosphere the words convey.
John Irving,"I've always been a fan of the 19th century novel, of the novel that is plotted, character-driven, and where the passage of time is almost as central to the novel as a major minor character, the passage of time and its effect on the characters in the story."
John Irving,Good habits are worth being fanatical about.
John Irving,You've got to get obsessed and stay obsessed.
John Irving,There are few things as seemingly untouched by the real world as a child asleep.
John Irving,"Your memory is a monster; you forget - it doesn't. It simply files things away. It keeps things for you, or hides things from you - and summons them to your recall with a will of its own. You think you have a memory; but it has you!"
John Irving,I suppose I'm proudest of my novels for what's imagined in them. I think the world of my imagination is a richer and more interesting place than my personal biography.
John Irving,Half my life is an act of revision.
John Irving,Writing a novel is actually searching for victims. As I write I keep looking for casualties. The stories uncover the casualties.
John Irving,"I take people very seriously. People are all I take seriously, in fact. Therefore, I have nothing but sympathy for how people behave - and nothing but laughter to console them with."
John Irving,"To each other, we were as normal and nice as the smell of bread. We were just a family. In a family even exaggerations make perfect sense."
John Irving,You can't learn everything you need to know legally.
Hale Irwin,"I got off to a good start with birdies on three of four holes and kept it going the rest of the way,"
Hale Irwin,"I am really proud that I have continued to do as well as I have, particularly considering I have had some back [problems] the past couple of years, ... And pride I think that is a very important five-letter word."
Hale Irwin,"Let's put that in perspective, ... I finished an hour before the leaders. It wasn't like that putt sent me into the playoffs. Heading into the 11th hole, I wasn't even in the top 15."
Hale Irwin,"That's too bad. I like the golf course. We're seeing it under some difficult conditions because of the greens, (but) I have great memories here."
Hale Irwin,"I think it's great for golf. I don't see any problem with it, if it helps our sponsor."
Hale Irwin,"I hit a lot of very good golf shots this week,"
Hale Irwin,"I hit a lot of very good golf shots this week. I'm not going to beat up my short game, but I had some putting difficulty. But I'm not complaining."
Hale Irwin,"I am still trying to understand this game, ... I am still learning how to play golf. There are a lot of shots I still don't know. I am still trying to learn, and I think that's a good attitude to have."
Hale Irwin,What she has done with her boys and what she is doing to establish a new life in Phoenix is just unbelievable.
Hale Irwin,"I just never subscribed to the theory that at age 55, you fall off the face of the earth on the Tour. I always felt that was too young of an age for that."
Hale Irwin,"If you're not just a little bit nervous before a match, you probably don't have the expectations of yourself that you should have."
Hale Irwin,I relish the challenge of playing and going out at the age 60 to play like I did when I was 50.
Hale Irwin,"I just never subscribed to the theory that at age 55, you fall off the face of the earth on the Tour, ... I always felt that was too young of an age for that."
Steve Irwin,"To me, the story is the power of volunteers,"
Steve Irwin,"I have no problem giving donations, but I like to see my money go to work."
Steve Irwin,"He could still decide to take out his anger on us,"
Chris Isaak,"I think I'm in a really nice position, where I'm sure I could do another show if I wanted to do one, but right now the main thing in my mind is writing songs."
Chris Isaak,"One thing, when you're an actor, you finish something and then you have to worry about what the next gig is. When you're a musician, you can always write your own stuff, and I'm working on new stuff for a new album right now."
Chris Isaak,"The things that got me through grade school are helping me out later in life. It's like, I show up on time. If you buy a ticket to one of my shows, I'll show up. I'll be there. And if it says 10:00, I'll be on stage at 10:00."
Yusuf Islam,"I always stood for the elimination of conflict and wars, and any of those causes that ignite them."
Yusuf Islam,In the early days I had a very black-and-white view of everything.
Yusuf Islam,Music is part of God's universe.
Yusuf Islam,Everything I do is for the pleasure of Allah.
Yusuf Islam,All things can be forgiven if we can progress.
Yusuf Islam,Some extremists take elements of the sacred scriptures out of context.
Yusuf Islam,The greatest legacy is that which benefits the widest number of people for the longest period without limit to value. No one but the Prophet Muhammad was given that role as the seal of God's message.
Yusuf Islam,It's very difficult to ignore humanitarian disasters. The royalties from my albums continue to support my charity work.
Yusuf Islam,"I am confident that, in the end, common sense and justice will prevail. I'm an optimist, brought up on the belief that if you wait to the end of the story, you get to see the good people live happily ever after."
Yusuf Islam,A person who steals bread during a famine is not treated as a thief.
Yusuf Islam,The fact that the Prophet cared for every human being and tried his best to ensure their security in the hereafter must be the most telling of his compassionate and merciful characteristics.
Yusuf Islam,"I've returned to being an amateur without any ties or strings attached, which gives me a freedom I never had before."
Yusuf Islam,Music is a lady that I still love because she gives me the air that I breathe. We need all sorts of nourishment. And music satisfies and nourishes the hunger within ourselves for connection and harmony.
Yusuf Islam,"Because I don't play guitar any more, African harmonies and rhythms have been an inspiration to me. I love the raw origin of the sound. It complements my voice and words naturally."
Yusuf Islam,Man is created to be God's deputy on earth and it is important to realize the obligation to rid ourselves of all illusions and to make our lives a preparation for the next life.
Yusuf Islam,"I became very famous, as a teenager, and my name and photo were splashed in all the media. They made me larger than life, so I wanted to live larger than life, and the only way to do that was to be intoxicated."
Yusuf Islam,"In a World where people are surrounded by darkness, ignorance and fear, it is a sign of hope to be celebrating Islam's message of peace and light, and the last great Messenger, born and chosen to deliver them to all mankind."
Goran Ivanisevic,"When you are winning too much, sometimes you think you should never lose again. I am learning to lose."
Goran Ivanisevic,It's easier when you play. You get your emotion out. You scream. You yell. You do whatever you want. You play. But it's tough to sit.
Goran Ivanisevic,"This is the biggest achievement this team has had in its history, so for sure we want to go even further,"
Ana Ivanovic,"It hurt during the doubles match [Wednesday] night, ... The best thing I can do now is to get treatment and hopefully be ready for the U.S. Open."
Ana Ivanovic,It hurt during the doubles match (Wednesday) night. The best thing I can do now is to get treatment and hopefully be ready for the U.S. Open.
Ana Ivanovic,That's one of my goals for this year: top 10. I really want it and I have to work hard. There are some aspects in my game I have to improve.
Allen Iverson,"I think that with this team, we honestly worry about other things besides team concepts."
Allen Iverson,"I think with this team we honestly worry about things other than the team concept, what makes up a good team. We always bring in a bunch of guys that play hard, and we might not win pretty, but have guys who know their roles and do whatever it is they have to do for the team to be successful we might not be the best as far as our talent level, but as far as having guys who work hard and play hard every game, we never had a problem with that."
Allen Iverson,I think a lot of it has to do with the trade deadline being over. Guys are comfortable now that they?re going to be here.
Allen Iverson,"I think that as far as talent, we have enough to get over the hump. We are just not doing it. You can?t coach it, you can?t preach it. It is just something that players must be willing to do."
Allen Iverson,"Chris and myself, some nights we're going to struggle and we're not going to be able to get it done. We need other guys to step up. When you get 31 from a guy off the bench, you're supposed to win that game."
Allen Iverson,"When I struggle the way I did tonight, as a team we are obviously going to struggle."
Allen Iverson,"As long as you leave everything out on the basketball court, you can go into the locker room and feel good about yourself and that's important.............."
Allen Iverson,I don't have a problem with it. I'll do it for the rest of the season.
Allen Iverson,"I told him before the play that if both men went to me, to go to the basket and get a good shot. Things didn't go the way we wanted tonight."
Allen Iverson,"I guess it's just having time to play with each other and learning each other, just finding out how he wants to play and vice versa. He told me coming into the season that he wasn't doing his job if I didn't average four or five more points than I had been, and he was right because I am. ... We work together. We find out what plays we want to run. When we call plays for him, he tells me things he can do to get me an easy basket. And when a play is called for me, I let him know, if they take certain things away from me, what I can get for him. So it's just having some chemistry, being together and having a coach that understands that both of us need the ball and understands how both of us want to play."
Allen Iverson,"It's an honor. It's tough enough just to make an All-Star team, but when you're able to be a starter, it just says a lot about being pretty much one of the faces of the NBA because the fans pick you."
Allen Iverson,"It's an honor you know to be able to accomplish something like that knowing what he meant to this franchise and to the league. It's a great accomplishment, but without my guys, there's no way to get that accomplished."
Allen Iverson,"Just getting back into the game and making it a game is all heart. It feels bad, though, because we don't give that effort in the beginning and then we start showing the heart when we're about to get blown out. You have to play like that in the beginning and get stronger as the game goes on."
Allen Iverson,"Honestly, we know that we're fighting for a playoff position. I just don't want to settle for the eighth spot. If we play these games out and win most of them, we can get up to the seventh, or maybe even the sixth spot."
Allen Iverson,"We have to get it done, that's no excuse."
Allen Iverson,It probably was a fall and it swelled up on me. I kept playing on it. ... My doctors just said rest it as much as possible.
Allen Iverson,"It was a great feeling (to sit out) because I didn't feel good at all, ... I was telling Coach when I was getting ready to go back in that I wasn't feeling that well and he just told me to come back, and fortunately everything worked out fine. I just didn't feel good. I was dizzy out there the whole game. Once I stopped playing at halftime and came back in, I just never felt right. I think I'm coming down with something."
Allen Iverson,"I feel like if they want us to dress a certain way, they should pay for our clothes. It's just tough, man, knowing that all of a sudden you have to have a dress code out of nowhere. I don't think that's going to help the image of the league at all. ... It kind of makes it fake. The whole thing is fake."
Allen Iverson,The first appearance is always going to be the most memorable. This one is special because I'm 30 years old and you hear all the negative things about your game declining and at this point you should be breaking down. I still go out and play hard every night and give it my all. I guess the fans recognize that because they put me in the All-Star game.
Allen Iverson,"We should because when coaches get fired, the players have a lot to do with it."
Allen Iverson,"This is the thing you dream about when you're a kid, even before getting into the league."
Allen Iverson,"This is like a tribute to them, the people who helped me to get here. The thing that makes me feel good about the whole thing is, the fans voted me here."
Allen Iverson,Personally I just want to win a championship.
Allen Iverson,"If that many people recognize how hard I go every night and what I put into my game, to make myself and my team better, it means a lot to mean. I'm fortunate; I'm blessed to be in the situation that I'm in right now."
Allen Iverson,"If I don't believe it, then they don't need me on the court. I've just got to believe that in my heart."
Allen Iverson,I owe all of this to the guys I've played with and all the coaches that have helped me get to where I'm at right now. I'm honored to be here.
Allen Iverson,"I don't want to just go to the playoffs, I don't want to go to the playoffs and win the first round, second round, and not win the whole thing because it's bittersweet."
Allen Iverson,"I don't care. I feel like if we don't make a trade, we have to get it done with what we've got."
Allen Iverson,"I believe that whatever we have, regardless of a trade being done or not, I feel we have a shot. I've just got to believe that we're going to be all right. I've got to just play basketball."
Allen Iverson,Being an All-Star is everything.
Allen Iverson,"I had a lot of growing up to do. A lot of times, I learned the hard way."
Allen Iverson,He took advantage of his opportunities. He just got himself involved. He played a great game.
Allen Iverson,These guys don't have all the physical ability but they are able to win basketball games because they play the right way.
Allen Iverson,"That's something we expect from Dre every night, ... We know he has the ability to shut people down."
Charles Ives,"The possibilities of percussion sounds, I believe, have never been fully realized."
Charles Ives,The word 'beauty' is as easy to use as the word 'degenerate.' Both come in handy when one does or does not agree with you.
Charles Ives,The fabric of existence weaves itself whole.
Charles Ives,"A rare experience of a moment at daybreak, when something in nature seems to reveal all consciousness, cannot be explained at noon. Yet it is part of the day's unity."
Charles Ives,"If a poet knows more about a horse than he does about heaven, he might better stick to the horse, and some day the horse may carry him into heaven."
Charles Ives,"Expression, to a great extent, is a matter of terms, and terms are anyone's. The meaning of 'God' may have a billion interpretations if there be that many souls in the world."
Molly Ivins,"The thing about democracy, beloveds, is that it is not neat, orderly, or quiet. It requires a certain relish for confusion."
Molly Ivins,Satire is traditionally the weapon of the powerless against the powerful.
Molly Ivins,"Next time I tell you someone from Texas should not be president of the United States, please pay attention."
Molly Ivins,It is possible to read the history of this country as one long struggle to extend the liberties established in our Constitution to everyone in America.
Molly Ivins,"I dearly love the state of Texas, but I consider that a harmless perversion on my part, and discuss it only with consenting adults."
Molly Ivins,I believe in practicing prudence at least once every two or three years.
Molly Ivins,Being slightly paranoid is like being slightly pregnant - it tends to get worse.
Molly Ivins,I believe that ignorance is the root of all evil. And that no one knows the truth.
Satoru Iwata,"There would be no paperbacks, no romance novels, no magazines."
Satoru Iwata,We do not run from risk. We run to it. We are taking the risk to move beyond the boundaries of the game industry to reach new players and current players.
Satoru Iwata,You say you want a revolution?
