author,quote,no_stopwords,lemmatized,stemmed
Bible Bible,"But he answered and said unto him that told him, Who is my mother? and who are my brethren? / And he stretched forth his hand toward his disciples, and said, Behold my mother and my brethren! / For whosoever shall do the will of my Father which is in heaven, the same is my brother, and sister, and mother.",answered said told mother brethren stretched forth hand toward disciples said Behold mother brethren whosoever shall Father heaven brother sister mother,answer say tell mother brother stretch forth hand toward disciple say Behold mother brother whosoever shall Father heaven brother sister mother,answer say tell mother brother stretch forth hand toward discipl say behold mother brother whosoev shall father heaven brother sister mother
Bible Bible,And Joseph and his mother marvelled at those things which were spoken of him.,Joseph mother marvelled things spoken,Joseph mother marvel thing speak,joseph mother marvel thing speak
Bible Bible,"But Jerusalem which is above is free, which is the mother of us all.",Jerusalem free mother us,Jerusalem free mother u,jerusalem free mother u
Bible Bible,"And they shall come at no dead person to defile themselves: but for father, or for mother, or for son, or for daughter, for brother, or for sister that hath had no husband, they may defile themselves.",shall come dead person defile father mother son daughter brother sister hath husband may defile,shall come dead person defile father mother son daughter brother sister hath husband may defile,shall come dead person defil father mother son daughter brother sister hath husband may defil
Bible Bible,"And it came to pass as they emptied their sacks, that, behold, every man's bundle of money was in his sack: and when both they and their father saw the bundles of money, they were afraid.",came pass emptied sacks behold every man bundle money sack father saw bundles money afraid,come pas empty sack behold every man bundle money sack father saw bundle money afraid,come pas empti sack behold everi man bundl money sack father saw bundl money afraid
Bible Bible,"If thou lend money to any of my people that is poor by thee, thou shalt not be to him as an usurer, neither shalt thou lay upon him usury.",thou lend money people poor thou shalt usurer neither shalt thou lay upon usury,thou lend money people poor thou shalt usurer neither shalt thou lay upon usury,thou lend money peopl poor thou shalt usur neither shalt thou lay upon usuri
Bible Bible,"Then Joseph commanded to fill their sacks with corn, and to restore every man's money into his sack, and to give them provision for the way: and thus did he unto them.",Joseph commanded fill sacks corn restore every man money sack give provision way thus,Joseph command fill sack corn restore every man money sack give provision way thus,joseph command fill sack corn restor everi man money sack give provis way thus
Bible Bible,"Then Simon himself believed also: and when he was baptized, he continued with Philip, and wondered, beholding the miracles and signs which were done.",Simon believed also baptized continued Philip wondered beholding miracles signs done,Simon believe also baptize continue Philip wonder behold miracle sign do,simon believ also baptiz continu philip wonder behold miracl sign do
Bible Bible,"These have one mind, and shall give their power and strength unto the beast.",one mind shall give power strength beast,one mind shall give power strength beast,one mind shall give power strength beast
Bible Bible,"So she discovered her whoredoms, and discovered her nakedness: then my mind was alienated from her, like as my mind was alienated from her sister.",discovered whoredoms discovered nakedness mind alienated like mind alienated sister,discover whoredom discover nakedness mind alienate like mind alienate sister,discov whoredom discov naked mind alien like mind alien sister
Bible Bible,The merciful shall obtain mercy.,merciful shall obtain mercy,merciful shall obtain mercy,merci shall obtain merci
Bible Bible,"But I will sing of thy power; yea, I will sing aloud of thy mercy in the morning: for thou hast been my defence and refuge in the day of my trouble.",sing power yea sing aloud mercy morning thou hast defence refuge day trouble,sing power yea sing aloud mercy morning thou hast defence refuge day trouble,sing power yea sing aloud merci morn thou hast defenc refug day troubl
Bible Bible,"He that despiseth his neighbour sinneth: but he that hath mercy on the poor, happy is he.",despiseth neighbour sinneth hath mercy poor happy,despiseth neighbour sinneth hath mercy poor happy,despiseth neighbour sinneth hath merci poor happi
Bible Bible,And thou shalt put the mercy seat above upon the ark; and in the ark thou shalt put the testimony that I shall give thee.,thou shalt put mercy seat upon ark ark thou shalt put testimony shall give,thou shalt put mercy seat upon ark ark thou shalt put testimony shall give,thou shalt put merci seat upon ark ark thou shalt put testimoni shall give
Bible Bible,"O turn unto me, and have mercy upon me; give thy strength unto thy servant, and save the son of thine handmaid.",turn mercy upon give strength servant save son thine handmaid,turn mercy upon give strength servant save son thine handmaid,turn merci upon give strength servant save son thine handmaid
Bible Bible,They that observe lying vanities forsake their own mercy.,observe lying vanities forsake mercy,observe lie vanity forsake mercy,observ lie vaniti forsak merci
Bible Bible,"Thus saith the LORD; Behold, I will bring again the captivity of Jacob's tents, and have mercy on his dwellingplaces; and the city shall be builded upon her own heap, and the palace shall remain after the manner thereof.",Thus saith LORD Behold bring captivity Jacob tents mercy dwellingplaces city shall builded upon heap palace shall remain manner thereof,Thus saith LORD Behold bring captivity Jacob tent mercy dwellingplaces city shall build upon heap palace shall remain manner thereof,thus saith lord behold bring captiv jacob tent merci dwellingplac citi shall build upon heap palac shall remain manner thereof
Bible Bible,"They shall hold the bow and the lance: they are cruel, and will not shew mercy: their voice shall roar like the sea, and they shall ride upon horses, every one put in array, like a man to the battle, against thee, O daughter of Babylon.",shall hold bow lance cruel shew mercy voice shall roar like sea shall ride upon horses every one put array like man battle daughter Babylon,shall hold bow lance cruel shew mercy voice shall roar like sea shall ride upon horse every one put array like man battle daughter Babylon,shall hold bow lanc cruel shew merci voic shall roar like sea shall ride upon hors everi one put array like man battl daughter babylon
Bible Bible,Blessed are the merciful: for they shall obtain mercy.,Blessed merciful shall obtain mercy,Blessed merciful shall obtain mercy,bless merci shall obtain merci
Bible Bible,And thou shalt put the mercy seat upon the ark of the testimony in the most holy place.,thou shalt put mercy seat upon ark testimony holy place,thou shalt put mercy seat upon ark testimony holy place,thou shalt put merci seat upon ark testimoni holi place
Bible Bible,"But go ye and learn what that meaneth, I will have mercy, and not sacrifice: for I am not come to call the righteous, but sinners to repentance.",go learn meaneth mercy sacrifice come call righteous sinners repentance,go learn meaneth mercy sacrifice come call righteous sinner repentance,go learn meaneth merci sacrific come call righteous sinner repent
Bible Bible,"And the men did the work faithfully: and the overseers of them were Jahath and Obadiah, the Levites, of the sons of Merari; and Zechariah and Meshullam, of the sons of the Kohathites, to set it forward; and other of the Levites, all that could skill of instruments of musick.",men work faithfully overseers Jahath Obadiah Levites sons Merari Zechariah Meshullam sons Kohathites set forward Levites could skill instruments musick,men work faithfully overseer Jahath Obadiah Levites son Merari Zechariah Meshullam son Kohathites set forward Levites could skill instrument musick,men work faith overs jahath obadiah levit son merari zechariah meshullam son kohathit set forward levit could skill instrument musick
Bible Bible,"Go to now, ye rich men, weep and howl for your miseries that shall come upon you.",Go rich men weep howl miseries shall come upon,Go rich men weep howl misery shall come upon,go rich men weep howl miseri shall come upon
Bible Bible,"Then said he unto Zebah and Zalmunna, What manner of men were they whom ye slew at Tabor? And they answered, As thou art, so were they; each one resembled the children of a king.",said Zebah Zalmunna manner men slew Tabor answered thou art one resembled children king,say Zebah Zalmunna manner men slew Tabor answer thou art one resemble child king,say zebah zalmunna manner men slew tabor answer thou art one resembl child king
Bible Bible,"And he saith unto them, Follow me, and I will make you fishers of men.",saith Follow make fishers men,saith Follow make fisher men,saith follow make fisher men
Bible Bible,"And all the men of his house, born in the house, and bought with money of the stranger, were circumcised with him.",men house born house bought money stranger circumcised,men house bear house buy money strange circumcise,men hous bear hous buy money strang circumcis
Bible Bible,"And the congregation sent thither twelve thousand men of the valiantest, and commanded them, saying, Go and smite the inhabitants of Jabeshgilead with the edge of the sword, with the women and the children.",congregation sent thither twelve thousand men valiantest commanded saying Go smite inhabitants Jabeshgilead edge sword women children,congregation send thither twelve thousand men valiant command say Go smite inhabitant Jabeshgilead edge sword woman child,congreg send thither twelv thousand men valiant command say go smite inhabit jabeshgilead edg sword woman child
Bible Bible,"Wherefore I say unto you, All manner of sin and blasphemy shall be forgiven unto men: but the blasphemy against the Holy Ghost shall not be forgiven unto men.",Wherefore say manner sin blasphemy shall forgiven men blasphemy Holy Ghost shall forgiven men,Wherefore say manner sin blasphemy shall forgive men blasphemy Holy Ghost shall forgive men,wherefor say manner sin blasphemi shall forgiv men blasphemi holi ghost shall forgiv men
Bible Bible,"Then Nebuchadnezzar in his rage and fury commanded to bring Shadrach, Meshach, and Abednego. Then they brought these men before the king.",Nebuchadnezzar rage fury commanded bring Shadrach Meshach Abednego brought men king,Nebuchadnezzar rage fury command bring Shadrach Meshach Abednego bring men king,nebuchadnezzar rage furi command bring shadrach meshach abednego bring men king
Bible Bible,"Among all this people there were seven hundred chosen men lefthanded; every one could sling stones at an hair breadth, and not miss.",Among people seven hundred chosen men lefthanded every one could sling stones hair breadth miss,Among people seven hundred choose men lefthanded every one could sling stone hair breadth miss,among peopl seven hundr choos men lefthand everi one could sling stone hair breadth miss
Bible Bible,"And he took about five thousand men, and set them to lie in ambush between Bethel and Ai, on the west side of the city.",took five thousand men set lie ambush Bethel Ai west side city,take five thousand men set lie ambush Bethel Ai west side city,take five thousand men set lie ambush bethel ai west side citi
Bible Bible,"And Gideon came to Jordan, and passed over, he, and the three hundred men that were with him, faint, yet pursuing them.",Gideon came Jordan passed three hundred men faint yet pursuing,Gideon come Jordan pas three hundred men faint yet pursue,gideon come jordan pas three hundr men faint yet pursu
Bible Bible,"Therefore Daniel went in unto Arioch, whom the king had ordained to destroy the wise men of Babylon: he went and said thus unto him; Destroy not the wise men of Babylon: bring me in before the king, and I will shew unto the king the interpretation.",Therefore Daniel went Arioch king ordained destroy wise men Babylon went said thus Destroy wise men Babylon bring king shew king interpretation,Therefore Daniel go Arioch king ordain destroy wise men Babylon go say thus Destroy wise men Babylon bring king shew king interpretation,therefor daniel go arioch king ordain destroy wise men babylon go say thus destroy wise men babylon bring king shew king interpret
Bible Bible,"The men of Kirjathjearim, Chephirah, and Beeroth, seven hundred forty and three.",men Kirjathjearim Chephirah Beeroth seven hundred forty three,men Kirjathjearim Chephirah Beeroth seven hundred forty three,men kirjathjearim chephirah beeroth seven hundr forti three
Bible Bible,All the sons of Perez that dwelt at Jerusalem were four hundred threescore and eight valiant men.,sons Perez dwelt Jerusalem four hundred threescore eight valiant men,son Perez dwell Jerusalem four hundred threescore eight valiant men,son perez dwell jerusalem four hundr threescor eight valiant men
Bible Bible,"If we let him thus alone, all men will believe on him: and the Romans shall come and take away both our place and nation.",let thus alone men believe Romans shall come take away place nation,let thus alone men believe Romans shall come take away place nation,let thus alon men believ roman shall come take away place nation
Bible Bible,And the inhabitants of Jerusalem made Ahaziah his youngest son king in his stead: for the band of men that came with the Arabians to the camp had slain all the eldest. So Ahaziah the son of Jehoram king of Judah reigned.,inhabitants Jerusalem made Ahaziah youngest son king stead band men came Arabians camp slain eldest Ahaziah son Jehoram king Judah reigned,inhabitant Jerusalem make Ahaziah young son king stead band men come Arabians camp slay eldest Ahaziah son Jehoram king Judah reign,inhabit jerusalem make ahaziah young son king stead band men come arabian camp slay eldest ahaziah son jehoram king judah reign
Bible Bible,"And he took some of his brethren, even five men, and presented them unto Pharaoh.",took brethren even five men presented Pharaoh,take brother even five men present Pharaoh,take brother even five men present pharaoh
Bible Bible,"And the things that thou hast heard of me among many witnesses, the same commit thou to faithful men, who shall be able to teach others also.",things thou hast heard among many witnesses commit thou faithful men shall able teach others also,thing thou hast hear among many witness commit thou faithful men shall able teach others also,thing thou hast hear among mani wit commit thou faith men shall abl teach other also
Bible Bible,"Ye shall know them by their fruits. Do men gather grapes of thorns, or figs of thistles? / Even so every good tree bringeth forth good fruit; but a corrupt tree bringeth forth evil fruit.",shall know fruits men gather grapes thorns figs thistles Even every good tree bringeth forth good fruit corrupt tree bringeth forth evil fruit,shall know fruit men gather grape thorn fig thistle Even every good tree bringeth forth good fruit corrupt tree bringeth forth evil fruit,shall know fruit men gather grape thorn fig thistl even everi good tree bringeth forth good fruit corrupt tree bringeth forth evil fruit
Bible Bible,"And next unto them repaired Melatiah the Gibeonite, and Jadon the Meronothite, the men of Gibeon, and of Mizpah, unto the throne of the governor on this side the river.",next repaired Melatiah Gibeonite Jadon Meronothite men Gibeon Mizpah throne governor side river,next repair Melatiah Gibeonite Jadon Meronothite men Gibeon Mizpah throne governor side river,next repair melatiah gibeonit jadon meronothit men gibeon mizpah throne governor side river
Bible Bible,"But there was a strong tower within the city, and thither fled all the men and women, and all they of the city, and shut it to them, and gat them up to the top of the tower.",strong tower within city thither fled men women city shut gat top tower,strong tower within city thither flee men woman city shut gat top tower,strong tower within citi thither flee men woman citi shut gat top tower
Bible Bible,"I will therefore that men pray every where, lifting up holy hands, without wrath and doubting.",therefore men pray every lifting holy hands without wrath doubting,therefore men pray every lift holy hand without wrath doubt,therefor men pray everi lift holi hand without wrath doubt
Bible Bible,"And here men that die receive tithes; but there he receiveth them, of whom it is witnessed that he liveth.",men die receive tithes receiveth witnessed liveth,men die receive tithe receiveth witness liveth,men die receiv tith receiveth wit liveth
Bible Bible,"The men of the other Nebo, fifty and two.",men Nebo fifty two,men Nebo fifty two,men nebo fifti two
Bible Bible,"And, behold, immediately there were three men already come unto the house where I was, sent from Caesarea unto me.",behold immediately three men already come house sent Caesarea,behold immediately three men already come house send Caesarea,behold immedi three men alreadi come hous send caesarea
Bible Bible,"Verily I say unto you, All sins shall be forgiven unto the sons of men, and blasphemies wherewith soever they shall blaspheme: / But he that shall blaspheme against the Holy Ghost hath never forgiveness, but is in danger of eternal damnation.",Verily say sins shall forgiven sons men blasphemies wherewith soever shall blaspheme shall blaspheme Holy Ghost hath never forgiveness danger eternal damnation,Verily say sin shall forgive son men blasphemy wherewith soever shall blaspheme shall blaspheme Holy Ghost hath never forgiveness danger eternal damnation,verili say sin shall forgiv son men blasphemi wherewith soever shall blasphem shall blasphem holi ghost hath never forgiv danger etern damnat
Bible Bible,"And if men strive together, and one smite another with a stone, or with his fist, and he die not, but keepeth his bed: / If he rise again, and walk abroad upon his staff, then shall he that smote him be quit: only he shall pay for the loss of his time, and shall cause him to be thoroughly healed.",men strive together one smite another stone fist die keepeth bed rise walk abroad upon staff shall smote quit shall pay loss time shall cause thoroughly healed,men strive together one smite another stone fist die keepeth bed rise walk abroad upon staff shall smite quit shall pay loss time shall cause thoroughly heal,men strive togeth one smite anoth stone fist die keepeth bed rise walk abroad upon staff shall smite quit shall pay loss time shall caus thorough heal
Bible Bible,"Let there more work be laid upon the men, that they may labour therein; and let them not regard vain words.",Let work laid upon men may labour therein let regard vain words,Let work lay upon men may labour therein let regard vain word,let work lay upon men may labour therein let regard vain word
Bible Bible,"And the men of Ephraim gathered themselves together, and went northward, and said unto Jephthah, Wherefore passedst thou over to fight against the children of Ammon, and didst not call us to go with thee? we will burn thine house upon thee with fire.",men Ephraim gathered together went northward said Jephthah Wherefore passedst thou fight children Ammon didst call us go burn thine house upon fire,men Ephraim gather together go northward say Jephthah Wherefore passedst thou fight child Ammon didst call u go burn thine house upon fire,men ephraim gather togeth go northward say jephthah wherefor passedst thou fight child ammon didst call u go burn thine hous upon fire
Bible Bible,"And the men of Gibeon sent unto Joshua to the camp to Gilgal, saying, Slack not thy hand from thy servants; come up to us quickly, and save us, and help us: for all the kings of the Amorites that dwell in the mountains are gathered together against us.",men Gibeon sent Joshua camp Gilgal saying Slack hand servants come us quickly save us help us kings Amorites dwell mountains gathered together us,men Gibeon send Joshua camp Gilgal say Slack hand servant come u quickly save u help u king Amorites dwell mountain gather together u,men gibeon send joshua camp gilgal say slack hand servant come u quick save u help u king amorit dwell mountain gather togeth u
Bible Bible,"The same hour was the thing fulfilled upon Nebuchadnezzar: and he was driven from men, and did eat grass as oxen, and his body was wet with the dew of heaven, till his hairs were grown like eagles' feathers, and his nails like birds' claws.",hour thing fulfilled upon Nebuchadnezzar driven men eat grass oxen body wet dew heaven till hairs grown like eagles feathers nails like birds claws,hour thing fulfil upon Nebuchadnezzar drive men eat grass ox body wet dew heaven till hair grow like eagle feather nail like bird claw,hour thing fulfil upon nebuchadnezzar drive men eat grass ox bodi wet dew heaven till hair grow like eagl feather nail like bird claw
Bible Bible,"The elders have ceased from the gate, the young men from their musick.",elders ceased gate young men musick,elder cease gate young men musick,elder ceas gate young men musick
Bible Bible,"And his mother's brethren spake of him in the ears of all the men of Shechem all these words: and their hearts inclined to follow Abimelech; for they said, He is our brother.",mother brethren spake ears men Shechem words hearts inclined follow Abimelech said brother,mother brother spake ear men Shechem word heart incline follow Abimelech say brother,mother brother spake ear men shechem word heart inclin follow abimelech say brother
Bible Bible,"And the rest of the men which were not killed by these plagues yet repented not of the works of their hands, that they should not worship devils, and idols of gold, and silver, and brass, and stone, and of wood: which neither can see, nor hear, nor walk: / Neither repented they of their murders, nor of their sorceries, nor of their fornication, nor of their thefts.",rest men killed plagues yet repented works hands worship devils idols gold silver brass stone wood neither see hear walk Neither repented murders sorceries fornication thefts,rest men kill plague yet repent work hand worship devil idol gold silver brass stone wood neither see hear walk Neither repent murder sorcery fornication theft,rest men kill plagu yet repent work hand worship devil idol gold silver brass stone wood neither see hear walk neither repent murder sorceri fornic theft
Bible Bible,"The men of Bethel and Ai, an hundred twenty and three.",men Bethel Ai hundred twenty three,men Bethel Ai hundred twenty three,men bethel ai hundr twenti three
Bible Bible,"And when the men of the city arose early in the morning, behold, the altar of Baal was cast down, and the grove was cut down that was by it, and the second bullock was offered upon the altar that was built.",men city arose early morning behold altar Baal cast grove cut second bullock offered upon altar built,men city arise early morning behold altar Baal cast grove cut second bullock offer upon altar build,men citi aris earli morn behold altar baal cast grove cut second bullock offer upon altar build
Bible Bible,"And the people blessed all the men, that willingly offered themselves to dwell at Jerusalem.",people blessed men willingly offered dwell Jerusalem,people bless men willingly offer dwell Jerusalem,peopl bless men will offer dwell jerusalem
Bible Bible,"And you went over Jordan, and came unto Jericho: and the men of Jericho fought against you, the Amorites, and the Perizzites, and the Canaanites, and the Hittites, and the Girgashites, the Hivites, and the Jebusites; and I delivered them into your hand.",went Jordan came Jericho men Jericho fought Amorites Perizzites Canaanites Hittites Girgashites Hivites Jebusites delivered hand,go Jordan come Jericho men Jericho fight Amorites Perizzites Canaanites Hittites Girgashites Hivites Jebusites deliver hand,go jordan come jericho men jericho fight amorit perizzit canaanit hittit girgashit hivit jebusit deliv hand
Bible Bible,"For they were about five thousand men. And he said to his disciples, Make them sit down by fifties in a company.",five thousand men said disciples Make sit fifties company,five thousand men say disciple Make sit fifty company,five thousand men say discipl make sit fifti compani
Bible Bible,"For ye see your calling, brethren, how that not many wise men after the flesh, not many mighty, not many noble, are called: / But God hath chosen the foolish things of the world to confound the wise; and God hath chosen the weak things of the world to confound the things which are mighty; / And base things of the world, and things which are despised, hath God chosen, yea, and things which are not, to bring to nought things that are: / That no flesh should glory in his presence.",see calling brethren many wise men flesh many mighty many noble called God hath chosen foolish things world confound wise God hath chosen weak things world confound things mighty base things world things despised hath God chosen yea things bring nought things flesh glory presence,see call brother many wise men flesh many mighty many noble call God hath choose foolish thing world confound wise God hath choose weak thing world confound thing mighty base thing world thing despise hath God choose yea thing bring nought thing flesh glory presence,see call brother mani wise men flesh mani mighti mani nobl call god hath choos foolish thing world confound wise god hath choos weak thing world confound thing mighti base thing world thing despis hath god choos yea thing bring nought thing flesh glori presenc
Bible Bible,In thee are men that carry tales to shed blood: and in thee they eat upon the mountains: in the midst of thee they commit lewdness.,men carry tales shed blood eat upon mountains midst commit lewdness,men carry tale shed blood eat upon mountain midst commit lewdness,men carri tale shed blood eat upon mountain midst commit lewd
Bible Bible,"Be of the same mind one toward another. Mind not high things, but condescend to men of low estate. Be not wise in your own conceits.",mind one toward another Mind high things condescend men low estate wise conceits,mind one toward another Mind high thing condescend men low estate wise conceit,mind one toward anoth mind high thing condescend men low estat wise conceit
Bible Bible,"And he divided the three hundred men into three companies, and he put a trumpet in every man's hand, with empty pitchers, and lamps within the pitchers.",divided three hundred men three companies put trumpet every man hand empty pitchers lamps within pitchers,divide three hundred men three company put trumpet every man hand empty pitcher lamp within pitcher,divid three hundr men three compani put trumpet everi man hand empti pitcher lamp within pitcher
Bible Bible,"Let your light so shine before men, that they may see your good works, and glorify your Father which is in heaven.",Let light shine men may see good works glorify Father heaven,Let light shine men may see good work glorify Father heaven,let light shine men may see good work glorifi father heaven
Bible Bible,And ye shall be hated of all men for my name's sake: but he that endureth to the end shall be saved.,shall hated men name sake endureth end shall saved,shall hat men name sake endureth end shall save,shall hat men name sake endureth end shall save
Bible Bible,"And they did eat and drink, he and the men that were with him, and tarried all night; and they rose up in the morning, and he said, Send me away unto my master.",eat drink men tarried night rose morning said Send away master,eat drink men tarry night rise morning say Send away master,eat drink men tarri night rise morn say send away master
Bible Bible,"And it shall come to pass, if there remain ten men in one house, that they shall die.",shall come pass remain ten men one house shall die,shall come pas remain ten men one house shall die,shall come pas remain ten men one hous shall die
Bible Bible,"For I say unto you, That none of those men which were bidden shall taste of my supper.",say none men bidden shall taste supper,say none men bid shall taste supper,say none men bid shall tast supper
Bible Bible,"And as ye would that men should do to you, do ye also to them likewise.",would men also likewise,would men also likewise,would men also likewis
Bible Bible,"And he beat down the tower of Penuel, and slew the men of the city.",beat tower Penuel slew men city,beat tower Penuel slew men city,beat tower penuel slew men citi
Bible Bible,"Then three thousand men of Judah went to the top of the rock Etam, and said to Samson, Knowest thou not that the Philistines are rulers over us? what is this that thou hast done unto us? And he said unto them, As they did unto me, so have I done unto them.",three thousand men Judah went top rock Etam said Samson Knowest thou Philistines rulers us thou hast done us said done,three thousand men Judah go top rock Etam say Samson Knowest thou Philistines ruler u thou hast do u say do,three thousand men judah go top rock etam say samson knowest thou philistin ruler u thou hast do u say do
Bible Bible,"And Joshua sent men from Jericho to Ai, which is beside Bethaven, on the east of Bethel, and spake unto them, saying, Go up and view the country. And the men went up and viewed Ai.",Joshua sent men Jericho Ai beside Bethaven east Bethel spake saying Go view country men went viewed Ai,Joshua send men Jericho Ai beside Bethaven east Bethel spake say Go view country men go view Ai,joshua send men jericho ai besid bethaven east bethel spake say go view countri men go view ai
Bible Bible,"Therefore shall a man leave his father and mother, and shall cleave unto his wife: and they shall be one flesh. [Genesis 2:24]",Therefore shall man leave father mother shall cleave wife shall one flesh Genesis 2 24,Therefore shall man leave father mother shall cleave wife shall one flesh Genesis 2 24,therefor shall man leav father mother shall cleav wife shall one flesh genesi 2 24
Bible Bible,"And he saith unto me, Write, Blessed are they which are called unto the marriage supper of the Lamb. And he saith unto me, These are the true sayings of God.",saith Write Blessed called marriage supper Lamb saith true sayings God,saith Write Blessed call marriage supper Lamb saith true say God,saith write bless call marriag supper lamb saith true say god
Bible Bible,"And Pharaoh said unto his servants, Can we find such a one as this is, a man in whom the Spirit of God is? / And Pharaoh said unto Joseph, Forasmuch as God hath shewed thee all this, there is none so discreet and wise as thou art: / Thou shalt be over my house, and according unto thy word shall all my people be ruled: only in the throne will I be greater than thou.",Pharaoh said servants find one man Spirit God Pharaoh said Joseph Forasmuch God hath shewed none discreet wise thou art Thou shalt house according word shall people ruled throne greater thou,Pharaoh say servant find one man Spirit God Pharaoh say Joseph Forasmuch God hath shew none discreet wise thou art Thou shalt house accord word shall people rule throne great thou,pharaoh say servant find one man spirit god pharaoh say joseph forasmuch god hath shew none discreet wise thou art thou shalt hous accord word shall peopl rule throne great thou
Bible Bible,"And the man said, They are departed hence; for I heard them say, Let us go to Dothan. And Joseph went after his brethren, and found them in Dothan.",man said departed hence heard say Let us go Dothan Joseph went brethren found Dothan,man say depart hence hear say Let u go Dothan Joseph go brother find Dothan,man say depart henc hear say let u go dothan joseph go brother find dothan
Bible Bible,"And he measured the wall thereof, an hundred and forty and four cubits, according to the measure of a man, that is, of the angel.",measured wall thereof hundred forty four cubits according measure man angel,measure wall thereof hundred forty four cubit accord measure man angel,measur wall thereof hundr forti four cubit accord measur man angel
Bible Bible,"If a man therefore purge himself from these, he shall be a vessel unto honour, sanctified, and meet for the master's use, and prepared unto every good work.",man therefore purge shall vessel honour sanctified meet master use prepared every good work,man therefore purge shall vessel honour sanctify meet master use prepare every good work,man therefor purg shall vessel honour sanctifi meet master use prepar everi good work
Bible Bible,Being kidnapped and held for ransom never worries the poor man,kidnapped held ransom never worries poor man,kidnap hold ransom never worry poor man,kidnap hold ransom never worri poor man
Bible Bible,"And, behold, there came an old man from his work out of the field at even, which was also of mount Ephraim; and he sojourned in Gibeah: but the men of the place were Benjamites.",behold came old man work field even also mount Ephraim sojourned Gibeah men place Benjamites,behold come old man work field even also mount Ephraim sojourn Gibeah men place Benjamites,behold come old man work field even also mount ephraim sojourn gibeah men place benjamit
Bible Bible,"And there was a man of mount Ephraim, whose name was Micah.",man mount Ephraim whose name Micah,man mount Ephraim whose name Micah,man mount ephraim whose name micah
Bible Bible,"For there is no man that doeth any thing in secret, and he himself seeketh to be known openly. If thou do these things, shew thyself to the world.",man doeth thing secret seeketh known openly thou things shew thyself world,man doeth thing secret seeketh know openly thou thing shew thyself world,man doeth thing secret seeketh know open thou thing shew thyself world
Bible Bible,"And I sought for a man among them, that should make up the hedge, and stand in the gap before me for the land, that I should not destroy it: but I found none.",sought man among make hedge stand gap land destroy found none,seek man among make hedge stand gap land destroy find none,seek man among make hedg stand gap land destroy find none
Bible Bible,"But let every man prove his own work, and then shall he have rejoicing in himself alone, and not in another.",let every man prove work shall rejoicing alone another,let every man prove work shall rejoice alone another,let everi man prove work shall rejoic alon anoth
Bible Bible,"For in many things we offend all. If any man offend not in word, the same is a perfect man, and able also to bridle the whole body.",many things offend man offend word perfect man able also bridle whole body,many thing offend man offend word perfect man able also bridle whole body,mani thing offend man offend word perfect man abl also bridl whole bodi
Bible Bible,"So Haman came in. And the king said unto him, What shall be done unto the man whom the king delighteth to honour? Now Haman thought in his heart, To whom would the king delight to do honour more than to myself? / And Haman answered the king, For the man whom the king delighteth to honour, / Let the royal apparel be brought which the king useth to wear, and the horse that the king rideth upon, and the crown royal which is set upon his head: / And let this apparel and horse be delivered to the hand of one of the king's most noble princes, that they may array the man withal whom the king delighteth to honour, and bring him on horseback through the street of the city, and proclaim before him, Thus shall it be done to the man whom the king delighteth to honour.",Haman came king said shall done man king delighteth honour Haman thought heart would king delight honour Haman answered king man king delighteth honour Let royal apparel brought king useth wear horse king rideth upon crown royal set upon head let apparel horse delivered hand one king noble princes may array man withal king delighteth honour bring horseback street city proclaim Thus shall done man king delighteth honour,Haman come king say shall do man king delighteth honour Haman think heart would king delight honour Haman answer king man king delighteth honour Let royal apparel bring king useth wear horse king rideth upon crown royal set upon head let apparel horse deliver hand one king noble prince may array man withal king delighteth honour bring horseback street city proclaim Thus shall do man king delighteth honour,haman come king say shall do man king delighteth honour haman think heart would king delight honour haman answer king man king delighteth honour let royal apparel bring king useth wear hors king rideth upon crown royal set upon head let apparel hors deliv hand one king nobl princ may array man withal king delighteth honour bring horseback street citi proclaim thus shall do man king delighteth honour
Bible Bible,"And all the people arose as one man, saying, We will not any of us go to his tent, neither will we any of us turn into his house.",people arose one man saying us go tent neither us turn house,people arise one man say u go tent neither u turn house,peopl aris one man say u go tent neither u turn hous
Bible Bible,The Son of man goeth as it is written of him: but woe unto that man by whom the Son of man is betrayed! it had been good for that man if he had not been born.,Son man goeth written woe man Son man betrayed good man born,Son man goeth write woe man Son man betray good man bear,son man goeth write woe man son man betray good man bear
Bible Bible,"Then Paul called one of the centurions unto him, and said, Bring this young man unto the chief captain: for he hath a certain thing to tell him.",Paul called one centurions said Bring young man chief captain hath certain thing tell,Paul call one centurion say Bring young man chief captain hath certain thing tell,paul call one centurion say bring young man chief captain hath certain thing tell
Bible Bible,He that is void of wisdom despiseth his neighbour: but a man of understanding holdeth his peace.,void wisdom despiseth neighbour man understanding holdeth peace,void wisdom despiseth neighbour man understand holdeth peace,void wisdom despiseth neighbour man understand holdeth peac
Bible Bible,"And he said unto me, Son of man, hast thou seen this? Then he brought me, and caused me to return to the brink of the river.",said Son man hast thou seen brought caused return brink river,say Son man hast thou see bring cause return brink river,say son man hast thou see bring caus return brink river
Bible Bible,"There is nothing better than that a man should rejoice in his own works, for that is his heritage",nothing better man rejoice works heritage,nothing good man rejoice work heritage,noth good man rejoic work heritag
